Work ID,Work Description,Category,MP Name,Constituency,State,House,Final Amount (₹),Completed Date,Has Images,Average Rating,IDA,Risk Score,Project Count,Total_Transactions,Pending_Payments,Pending Percentage,Risk Level,Risk Reason,ML Prediction,ML Anomaly
134703,Upgradation of Road from Madhavaram Village to Company Indlu of Madhavaram GP,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,499993.0,2025-01-31T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135593,Construction of CC Road from Amudala Village to AmudalaHW in Amudala Village&GP of Palasamudram MAndal of GD Nellore Constituency,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,448722.0,2024-12-05T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135595,Construction of CC road from Amudala Village to Amudala ST colony in Amudala Village & GP of Palasamudram Mandal of GD Nelloore Constituency,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,448970.0,2024-12-05T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135639,Construction of Under Ground Drainage at Thalaripalli HW(Reach 1) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nelloore Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,440871.0,2025-08-20T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135640,Construction of Under Ground Draiange at Thalaripalli HW(Reach II) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nellore Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,500000.0,2025-03-03T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135641,Construction of Under Ground Drainage at Thalaripalli HW (Reach III) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nelloore Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,489209.0,2025-03-03T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135642,"Construction of Under Ground Drainage at Penumuru Town (Reach I)& GP, Penumuru Mandal of GD Nelloore Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,477866.0,2025-02-08T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135643,"Construction of Under Ground Drainage at Penumuru Town (Reach II)&GP, Penumuru Mandal of GD Nelloore Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,200000.0,2025-02-08T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135645,"Construction of CC Road in Payanagaripalli HW Village at sathayma Temple to Venkatama House and Sumati House to Tirumalaiaha House and Venkateswara Temple to Hari House, Gundlapalli GP, Irala mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,397837.0,2024-10-25T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135646,"Construction of CC Road at Hand Borewell to Sri Ramathirtha Sevashramam in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,99809.0,2024-10-25T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135647,"Construction of CC Road From Pump House room to R&B Road Link and Markondaiah House to Venkatapuram HW end in Venkatapuram HW Village in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,497766.0,2024-10-25T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135648,Construction of CC Road from Nellepalli Mitta to Milk Dairy Nellepalli Mitta in Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,499570.0,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135649,"Construction of CC Road from G. Nirmala House to Apparao & Hari House in Kothuru Village, Nellepalli GP of GD Nelloore Mandal and Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,490629.0,2025-03-27T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135650,Construction of CC Road from Milk Dairy to Juice Factory in Nellepalli Mitta in Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,499781.0,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135651,Construction of CC Road from G. Murali Mohan House to Bhuvaneswari House in Appireddykandriga in Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,499782.0,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135652,Construction of CC Road from Juice Factory to G. Murali Mohan House in Appireddykandriga in Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,499365.0,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135654,Construction of CC Road from Peddamittapalli Road to K. Venkata Reddy House at Chinnamittapalli Village of Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,499432.0,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135655,"Construction of CC Road from Arimakulapalli Village to Aravinda(Ananda Naidu) House in Arimakulapalli Village, Dasarapalli GP in Yadamari Mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,492402.0,2024-12-14T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135656,"Construction of CC road from Molakamadugu Village to Kotala Main Road in Molakamadugu Village, Dasarapalli GP in Yadamar Mandal of Puthalapttu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,496981.0,2024-12-14T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),0,1.0,156,0,0.0,Low,No major anomaly detected,1,Normal
135772,"Completion of Incomplete community Hall in 4th ward in Vempalli (V &M), YSR District.",Normal/Others,Y S Avinash Reddy,KADAPA,Andhra Pradesh,Lok Sabha,980399.0,2025-05-11T00:00:00.000Z,True,,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),0,1.0,89,4,4.49438202247191,Low,No major anomaly detected,1,Normal
135773,"Replacement of old Pump set with accessaries and Pipe line near OHSR tank at Chinnakudala (V) of Lingal Mandal, YSR District.",Normal/Others,Y S Avinash Reddy,KADAPA,Andhra Pradesh,Lok Sabha,391781.0,2025-10-18T00:00:00.000Z,True,,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),0,1.0,89,4,4.49438202247191,Low,No major anomaly detected,1,Normal
